,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
0,GFAP,2.725752,30.848135,5.933701592315565e-209,SERPINE2,1.5468981,9.413186,4.813202451606864e-21,ATP1B1,0.72661674,11.881169,1.4827861374928566e-32,MAP1B,0.9510146,10.856934,1.8485338306681404e-27,SCGB2A2,1.739219,16.328196,6.21971682626164e-60,MBP,1.5358571,21.751299,6.715265444254161e-105,MBP,3.1121395,27.886738,3.864098907887047e-171
1,MT-ND1,0.5734155,30.2975,1.2366337047963794e-201,FAM107A,0.76352894,5.4264503,5.7485841259719805e-08,CARTPT,2.010144,8.126256,4.427542408503706e-16,ATP1B1,0.62664837,7.449995,9.334384037639816e-14,SCGB1D2,1.3783937,13.520416,1.1850332239801443e-41,PLP1,1.4070466,14.776869,2.0654771061126428e-49,PLP1,3.228949,24.606186,1.0845882541568932e-133
2,S100B,1.5136629,21.80586,2.041346597049217e-105,MT-ND1,0.14897649,5.324329,1.0132654680967693e-07,PLCB1,0.7479671,6.6446233,3.039940312084133e-11,HBB,1.1718477,5.9506526,2.670753220104039e-09,MAP1B,0.8560488,11.883159,1.4479020701477229e-32,SCGB2A2,1.5673841,12.796367,1.7180307671719278e-37,CRYAB,2.0906541,17.474613,2.236562311106482e-68
3,GLUL,0.96450764,18.282366,1.1435497286371962e-74,MT-ND4L,0.44896585,4.52095,6.156282213638059e-06,C1orf115,0.78866524,6.480226,9.158518037169683e-11,CPB1,1.8690666,4.8566613,1.1938160869509023e-06,MBP,0.668267,10.373942,3.257995424562033e-25,MAP1B,0.8728911,11.042099,2.393755452907115e-28,CNP,2.326925,16.014727,1.0084931728611803e-57
4,APOE,0.91553706,17.254831,1.0292207980183923e-66,CALB2,1.4174911,4.3158298,1.590046302645345e-05,MAP1B,0.5772445,6.3679495,1.91571992438957e-10,STX1B,0.55366236,3.9998686,6.337764436573502e-05,PLP1,0.62347037,7.1823506,6.852289792966754e-13,SCGB1D2,1.262858,10.722419,7.988636503620891e-27,GFAP,1.7935356,15.841994,1.596764040830958e-56
5,SNORC,2.1132505,16.81273,1.9689008506053707e-63,CNR1,1.0963402,4.278776,1.8792353233582015e-05,MT-ND1,0.08932668,5.1697598,2.3439539533808974e-07,SCGB2A2,0.6987733,3.651149,0.0002610695981296636,KRT19,0.6873619,6.877847,6.076384394070678e-12,TF,1.2862928,8.54718,1.261320163308899e-17,S100A11,2.3072956,14.657418,1.2077818273793398e-48
6,MT-ND4L,0.66186154,16.696247,1.3957266044024057e-62,CXCL14,0.6113444,3.9142132,9.069949098296291e-05,COPG1,0.7434608,4.7219896,2.335486401048139e-06,KRT19,0.49441367,3.5506377,0.00038429908207621264,TFF3,0.78280044,6.8020825,1.0311748146094542e-11,CNP,0.8637135,7.626633,2.4096374994937008e-14,MOBP,3.2004812,14.598802,2.8582425413614976e-48
7,MT2A,1.2145854,16.086533,3.171077346734766e-58,NECAB2,0.9022031,3.8781831,0.00010523948245072691,EIF1B,0.47112927,4.7132983,2.437390119152523e-06,IFI6,0.53379816,3.259532,0.00111596239325087,MUC1,0.667363,6.4055533,1.498249634521556e-10,MOBP,1.0890428,6.569919,5.034265509454576e-11,KRT8,2.3232107,14.0127945,1.3017978059768504e-44
8,CXCL14,1.7167505,15.187309,4.291778236224169e-52,IGFBP4,0.8724718,3.8414223,0.00012232345717116367,TPD52,0.55088264,4.1860666,2.838297956510236e-05,FNDC4,0.6212711,3.0004487,0.002695822386355616,XBP1,0.6888789,5.6818757,1.3322557030627167e-08,CLDND1,0.8813244,5.6730447,1.4028170132945045e-08,SCGB2A2,1.9184964,13.887984,7.491441768647029e-44
9,AQP4,2.1324332,14.536857,7.076825311641306e-48,CPNE6,1.0215361,3.7222967,0.0001974188295661288,MPRIP,0.4897565,4.1231523,3.737224251017367e-05,GNB5,0.6534587,2.9397755,0.003284501127636836,PLEKHB2,0.63332975,5.3793507,7.475489032232851e-08,COL1A2,0.8888089,4.5906816,4.4180098641196935e-06,RPS12,0.65405554,13.414568,4.96820281600637e-41
