Cell Type	Z-score	Cluster
Astrocyte	8.833363448007942	0
Neuron	1.7629365850100052	0
Glial cell	1.1061188803727298	0
Mesenchymal cell	0.9170021771119637	0
Fibroblast	0.8770942964370706	0
Macrophage	0.814459919351911	0
Endothelial cell	0.3222985312559091	0
Fibrous astrocyte	0.3172706269323381	0
Inhibitory neuron	0.2983006582242445	0
Neural stem cell	0.2848971358233937	0
Schwann cell	0.2766026816150577	0
Progenitor cell	0.1902793118150209	0
Neural progenitor cell	0.1483764330144898	0
Neutrophil	0.1421015973052129	0
Osteocyte	0.08402130031879791	0
Megakaryocyte	0.08402130031879791	0
Pancreatic endoderm cell	0.06877283468506717	0
Liver bud hepatic cell	-0.0828285167122939	0
Monocyte	-0.0913184194411972	0
Microglial cell	-0.13934279940573052	0
Natural killer T (NKT) cell	-0.15007037462575118	0
Mature Astrocyte	-0.1727927824371375	0
Radial glial cell	-0.17319857386837934	0
Mid radical glial cell	-0.17673168001595801	0
B cell	-0.19711639917347676	0
Stem cell	-0.2060683420995663	0
Epithelial cell	-0.20753643152804105	0
Oogenesis phase fetal germ cell	-0.2080885387586595	0
Leydig precursor cell	-0.20897151996504393	0
DCLK1+ progenitor cell	-0.2106369925166203	0
Enterocyte progenitor cell	-0.2158755387908182	0
Gonadal endothelial cell	-0.21597606374078418	0
Mitotic arrest phase fetal germ cell	-0.2192354292080398	0
Fibrocartilage chondrocyte	-0.2195203792894622	0
Stromal cell	-0.22126095497460752	0
Oligodendrocyte progenitor cell	-0.22292642752618394	0
Neural crest-derived cell	-0.22702220993536415	0
Neural crest cell	-0.22702220993536415	0
Dopamine neuron	-0.22702220993536415	0
Dorsal anterior hindbrain cell	-0.22702220993536415	0
Endocardial cell	-0.22702220993536415	0
Retinal astrocyte	-0.22920316727225606	0
Ito cell (hepatic stellate cell)	-0.22920316727225606	0
Cajal-Retzius cell	-0.23049251887464495	0
T helper 2(Th2) cell	-0.23049251887464495	0
Alveolar macrophage	-0.23640958992020192	0
Fat cell (adipocyte)	-0.23640958992020192	0
MKI67+ progenitor cell	-0.23640958992020192	0
Brown adipocyte	-0.23640958992020192	0
Ependymal cell	-0.23787767934867668	0
Immature glial cell	-0.23871329217287537	0
Oligodendrocyte	-0.23871329217287537	0
Embryonic stem cell	-0.2390594575437239	0
Adipocyte	-0.239536957269699	0
Myeloid cell	-0.24110906298110243	0
Myoblast	-0.2416394093240252	0
Homeostatic chondrocyte	-0.2416394093240252	0
Regulatory T(Treg) cell	-0.2416394093240252	0
Ionocyte cell	-0.2416394093240252	0
Lobe cell	-0.24183980130945404	0
